DATE,TOTAL
2024-02-16 00:00:00,0
2024-02-16 01:00:00,0.68698656
2024-02-16 02:00:00,0.07633184
2024-02-16 03:00:00,0
2024-02-16 04:00:00,0
2024-02-16 05:00:00,0.07633184
2024-02-16 06:00:00,3.09143952
2024-02-16 07:00:00,0.07633184
2024-02-16 08:00:00,2.862444
2024-02-16 09:00:00,2.6716144
2024-02-16 10:00:00,2.6716144
2024-02-16 11:00:00,0.03816592
2024-02-16 12:00:00,0.07633184
2024-02-16 13:00:00,0
2024-02-16 14:00:00,2.13729152
2024-02-16 15:00:00,0.53432288
2024-02-16 16:00:00,10.3047984
2024-02-16 17:00:00,41.33369136
2024-02-16 18:00:00,12.25126032
2024-02-16 19:00:00,0
2024-02-16 20:00:00,0.07633184
2024-02-16 21:00:00,1.5266368
2024-02-16 22:00:00,2.40445296
2024-02-16 23:00:00,4.42724672
