DATE,TOTAL
2024-01-27 00:00:00,0
2024-01-27 01:00:00,0
2024-01-27 02:00:00,2.6716144
2024-01-27 03:00:00,0
2024-01-27 04:00:00,0
2024-01-27 05:00:00,0
2024-01-27 06:00:00,0
2024-01-27 07:00:00,0
2024-01-27 08:00:00,2.2899552
2024-01-27 09:00:00,1.3358072
2024-01-27 10:00:00,2.0991256
2024-01-27 11:00:00,4.35091488
2024-01-27 12:00:00,0
2024-01-27 13:00:00,0
2024-01-27 14:00:00,58.54652128
2024-01-27 15:00:00,31.71587952
2024-01-27 16:00:00,2.13729152
2024-01-27 17:00:00,5.3432288
2024-01-27 18:00:00,0
2024-01-27 19:00:00,0
2024-01-27 20:00:00,0
2024-01-27 21:00:00,0
2024-01-27 22:00:00,0
2024-01-27 23:00:00,0.30532736
