DATE,TOTAL
2024-02-07 00:00:00,0
2024-02-07 01:00:00,0.03816592
2024-02-07 02:00:00,0
2024-02-07 03:00:00,2.78611216
2024-02-07 04:00:00,2.44261888
2024-02-07 05:00:00,0
2024-02-07 06:00:00,0.64882064
2024-02-07 07:00:00,1.25947536
2024-02-07 08:00:00,2.6716144
2024-02-07 09:00:00,2.70978032
2024-02-07 10:00:00,0.11449776
2024-02-07 11:00:00,2.63344848
2024-02-07 12:00:00,0
2024-02-07 13:00:00,0
2024-02-07 14:00:00,1.98462784
2024-02-07 15:00:00,2.17545744
2024-02-07 16:00:00,0
2024-02-07 17:00:00,2.74794624
2024-02-07 18:00:00,0.03816592
2024-02-07 19:00:00,10.34296432
2024-02-07 20:00:00,0
2024-02-07 21:00:00,4.9615696
2024-02-07 22:00:00,4.12191936
2024-02-07 23:00:00,0
