DATE,TOTAL
2024-01-29 00:00:00,2.70978032
2024-01-29 01:00:00,0
2024-01-29 02:00:00,0
2024-01-29 03:00:00,0
2024-01-29 04:00:00,0
2024-01-29 05:00:00,0.03816592
2024-01-29 06:00:00,3.54943056
2024-01-29 07:00:00,0.45799104
2024-01-29 08:00:00,7.90034544
2024-01-29 09:00:00,3.70209424
2024-01-29 10:00:00,5.26689696
2024-01-29 11:00:00,1.98462784
2024-01-29 12:00:00,2.70978032
2024-01-29 13:00:00,2.06095968
2024-01-29 14:00:00,2.70978032
2024-01-29 15:00:00,0.03816592
2024-01-29 16:00:00,0
2024-01-29 17:00:00,0
2024-01-29 18:00:00,3.0532736
2024-01-29 19:00:00,20.38060128
2024-01-29 20:00:00,3.28226912
2024-01-29 21:00:00,4.50357856
2024-01-29 22:00:00,2.0991256
2024-01-29 23:00:00,3.89292384
