DATE,TOTAL
2024-02-03 00:00:00,0
2024-02-03 01:00:00,1.45030496
2024-02-03 02:00:00,0.03816592
2024-02-03 03:00:00,2.17545744
2024-02-03 04:00:00,0.49615696
2024-02-03 05:00:00,0
2024-02-03 06:00:00,0
2024-02-03 07:00:00,0
2024-02-03 08:00:00,4.5799104
2024-02-03 09:00:00,2.25178928
2024-02-03 10:00:00,7.36602256
2024-02-03 11:00:00,2.13729152
2024-02-03 12:00:00,0
2024-02-03 13:00:00,0
2024-02-03 14:00:00,0
2024-02-03 15:00:00,8.9689912
2024-02-03 16:00:00,1.60296864
2024-02-03 17:00:00,2.2899552
2024-02-03 18:00:00,3.74026016
2024-02-03 19:00:00,2.17545744
2024-02-03 20:00:00,1.41213904
2024-02-03 21:00:00,0
2024-02-03 22:00:00,2.0991256
2024-02-03 23:00:00,2.13729152
