DATE,TOTAL
2024-02-17 00:00:00,2.97694176
2024-02-17 01:00:00,0
2024-02-17 02:00:00,0.11449776
2024-02-17 03:00:00,0
2024-02-17 04:00:00,0.15266368
2024-02-17 05:00:00,0
2024-02-17 06:00:00,0
2024-02-17 07:00:00,1.908296
2024-02-17 08:00:00,6.25921088
2024-02-17 09:00:00,5.61039024
2024-02-17 10:00:00,0
2024-02-17 11:00:00,2.13729152
2024-02-17 12:00:00,11.90776704
2024-02-17 13:00:00,2.2899552
2024-02-17 14:00:00,18.5104712
2024-02-17 15:00:00,40.8375344
2024-02-17 16:00:00,8.47283424
2024-02-17 17:00:00,2.82427808
2024-02-17 18:00:00,1.48847088
2024-02-17 19:00:00,0.11449776
2024-02-17 20:00:00,0
2024-02-17 21:00:00,40.03605008
2024-02-17 22:00:00,4.42724672
2024-02-17 23:00:00,2.51895072
