DATE,TOTAL
2024-01-30 00:00:00,0
2024-01-30 01:00:00,0
2024-01-30 02:00:00,0
2024-01-30 03:00:00,0
2024-01-30 04:00:00,0.07633184
2024-01-30 05:00:00,0.07633184
2024-01-30 06:00:00,3.28226912
2024-01-30 07:00:00,1.75563232
2024-01-30 08:00:00,2.63344848
2024-01-30 09:00:00,2.90060992
2024-01-30 10:00:00,4.9615696
2024-01-30 11:00:00,16.25868192
2024-01-30 12:00:00,0.99231392
2024-01-30 13:00:00,2.70978032
2024-01-30 14:00:00,0
2024-01-30 15:00:00,1.60296864
2024-01-30 16:00:00,0
2024-01-30 17:00:00,0.68698656
2024-01-30 18:00:00,3.58759648
2024-01-30 19:00:00,2.17545744
2024-01-30 20:00:00,3.89292384
2024-01-30 21:00:00,2.82427808
2024-01-30 22:00:00,12.86191504
2024-01-30 23:00:00,0.45799104
