DATE,TOTAL
2024-02-10 00:00:00,0
2024-02-10 01:00:00,2.74794624
2024-02-10 02:00:00,0.22899552
2024-02-10 03:00:00,0.07633184
2024-02-10 04:00:00,0.03816592
2024-02-10 05:00:00,0.11449776
2024-02-10 06:00:00,2.59528256
2024-02-10 07:00:00,0
2024-02-10 08:00:00,1.67930048
2024-02-10 09:00:00,5.19056512
2024-02-10 10:00:00,6.75536784
2024-02-10 11:00:00,0
2024-02-10 12:00:00,0
2024-02-10 13:00:00,0
2024-02-10 14:00:00,0
2024-02-10 15:00:00,31.02889296
2024-02-10 16:00:00,9.04532304
2024-02-10 17:00:00,4.80890592
2024-02-10 18:00:00,0.07633184
2024-02-10 19:00:00,1.29764128
2024-02-10 20:00:00,2.63344848
2024-02-10 21:00:00,2.32812112
2024-02-10 22:00:00,2.44261888
2024-02-10 23:00:00,1.94646192
