DATE,TOTAL
2024-02-11 00:00:00,0.26716144
2024-02-11 01:00:00,2.51895072
2024-02-11 02:00:00,0
2024-02-11 03:00:00,0
2024-02-11 04:00:00,0.15266368
2024-02-11 05:00:00,0
2024-02-11 06:00:00,0
2024-02-11 07:00:00,2.59528256
2024-02-11 08:00:00,3.6257624
2024-02-11 09:00:00,0
2024-02-11 10:00:00,0
2024-02-11 11:00:00,0
2024-02-11 12:00:00,0.11449776
2024-02-11 13:00:00,18.66313488
2024-02-11 14:00:00,2.36628704
2024-02-11 15:00:00,1.79379824
2024-02-11 16:00:00,6.25921088
2024-02-11 17:00:00,6.52637232
2024-02-11 18:00:00,6.79353376
2024-02-11 19:00:00,52.63080368
2024-02-11 20:00:00,62.36311328
2024-02-11 21:00:00,0
2024-02-11 22:00:00,0
2024-02-11 23:00:00,1.41213904
