DATE,TOTAL
2024-02-05 00:00:00,2.63344848
2024-02-05 01:00:00,0
2024-02-05 02:00:00,0
2024-02-05 03:00:00,0
2024-02-05 04:00:00,0
2024-02-05 05:00:00,0
2024-02-05 06:00:00,1.5266368
2024-02-05 07:00:00,0.15266368
2024-02-05 08:00:00,0
2024-02-05 09:00:00,0
2024-02-05 10:00:00,2.0991256
2024-02-05 11:00:00,21.22025152
2024-02-05 12:00:00,4.27458304
2024-02-05 13:00:00,2.21362336
2024-02-05 14:00:00,32.74635936
2024-02-05 15:00:00,19.88444432
2024-02-05 16:00:00,30.11291088
2024-02-05 17:00:00,3.0532736
2024-02-05 18:00:00,3.96925568
2024-02-05 19:00:00,0
2024-02-05 20:00:00,3.51126464
2024-02-05 21:00:00,2.21362336
2024-02-05 22:00:00,1.48847088
2024-02-05 23:00:00,0.11449776
