DATE,TOTAL
2024-01-25 00:00:00,2.78611216
2024-01-25 01:00:00,0
2024-01-25 02:00:00,0
2024-01-25 03:00:00,0
2024-01-25 04:00:00,0
2024-01-25 05:00:00,0
2024-01-25 06:00:00,1.94646192
2024-01-25 07:00:00,0.15266368
2024-01-25 08:00:00,0
2024-01-25 09:00:00,2.0991256
2024-01-25 10:00:00,8.70182976
2024-01-25 11:00:00,3.16777136
2024-01-25 12:00:00,14.6938792
2024-01-25 13:00:00,1.98462784
2024-01-25 14:00:00,0
2024-01-25 15:00:00,1.45030496
2024-01-25 16:00:00,5.03790144
2024-01-25 17:00:00,3.85475792
2024-01-25 18:00:00,4.12191936
2024-01-25 19:00:00,3.70209424
2024-01-25 20:00:00,0
2024-01-25 21:00:00,0.03816592
2024-01-25 22:00:00,3.01510768
2024-01-25 23:00:00,4.1982512
