DATE,TOTAL
2024-02-18 00:00:00,4.46541264
2024-02-18 01:00:00,6.03021536
2024-02-18 02:00:00,20.6095968
2024-02-18 03:00:00,0.45799104
2024-02-18 04:00:00,0
2024-02-18 05:00:00,0
2024-02-18 06:00:00,0
2024-02-18 07:00:00,2.2899552
2024-02-18 08:00:00,2.25178928
2024-02-18 09:00:00,0.03816592
2024-02-18 10:00:00,0.03816592
2024-02-18 11:00:00,0
2024-02-18 12:00:00,0
2024-02-18 13:00:00,2.0991256
2024-02-18 14:00:00,26.21998704
2024-02-18 15:00:00,2.25178928
2024-02-18 16:00:00,2.78611216
2024-02-18 17:00:00,16.220516
2024-02-18 18:00:00,0.41982512
2024-02-18 19:00:00,1.87013008
2024-02-18 20:00:00,2.25178928
2024-02-18 21:00:00,9.88497328
2024-02-18 22:00:00,0.26716144
2024-02-18 23:00:00,12.403924
