DATE,TOTAL
2024-02-20 00:00:00,1.75563232
2024-02-20 01:00:00,12.44208992
2024-02-20 02:00:00,0
2024-02-20 03:00:00,0.34349328
2024-02-20 04:00:00,2.51895072
2024-02-20 05:00:00,0.15266368
2024-02-20 06:00:00,1.60296864
2024-02-20 07:00:00,0.1908296
2024-02-20 08:00:00,0
2024-02-20 09:00:00,4.69440816
2024-02-20 10:00:00,5.30506288
2024-02-20 11:00:00,3.35860096
2024-02-20 12:00:00,4.69440816
2024-02-20 13:00:00,1.60296864
2024-02-20 14:00:00,10.83912128
2024-02-20 15:00:00,0.22899552
2024-02-20 16:00:00,24.2353592
2024-02-20 17:00:00,5.1523992
2024-02-20 18:00:00,14.35038592
2024-02-20 19:00:00,3.39676688
2024-02-20 20:00:00,0.03816592
2024-02-20 21:00:00,0.07633184
2024-02-20 22:00:00,0.03816592
2024-02-20 23:00:00,5.49589248
