DATE,TOTAL
2024-02-04 00:00:00,2.6716144
2024-02-04 01:00:00,2.2899552
2024-02-04 02:00:00,2.13729152
2024-02-04 03:00:00,0
2024-02-04 04:00:00,1.06864576
2024-02-04 05:00:00,0
2024-02-04 06:00:00,0
2024-02-04 07:00:00,0
2024-02-04 08:00:00,1.98462784
2024-02-04 09:00:00,0
2024-02-04 10:00:00,1.87013008
2024-02-04 11:00:00,1.83196416
2024-02-04 12:00:00,0
2024-02-04 13:00:00,8.0148432
2024-02-04 14:00:00,4.27458304
2024-02-04 15:00:00,0
2024-02-04 16:00:00,11.02995088
2024-02-04 17:00:00,3.20593728
2024-02-04 18:00:00,1.75563232
2024-02-04 19:00:00,1.5266368
2024-02-04 20:00:00,0.3816592
2024-02-04 21:00:00,1.98462784
2024-02-04 22:00:00,0
2024-02-04 23:00:00,0
