DATE,TOTAL
2024-02-09 00:00:00,0
2024-02-09 01:00:00,0
2024-02-09 02:00:00,0
2024-02-09 03:00:00,0
2024-02-09 04:00:00,0.03816592
2024-02-09 05:00:00,0
2024-02-09 06:00:00,3.16777136
2024-02-09 07:00:00,0.15266368
2024-02-09 08:00:00,2.90060992
2024-02-09 09:00:00,0
2024-02-09 10:00:00,0.07633184
2024-02-09 11:00:00,0.07633184
2024-02-09 12:00:00,0
2024-02-09 13:00:00,0.03816592
2024-02-09 14:00:00,0
2024-02-09 15:00:00,0.5724888
2024-02-09 16:00:00,2.32812112
2024-02-09 17:00:00,13.01457872
2024-02-09 18:00:00,0.07633184
2024-02-09 19:00:00,3.0532736
2024-02-09 20:00:00,0.49615696
2024-02-09 21:00:00,0
2024-02-09 22:00:00,0.87781616
2024-02-09 23:00:00,0.7633184
