DATE,TOTAL
2024-01-24 00:00:00,0
2024-01-24 01:00:00,0
2024-01-24 02:00:00,0
2024-01-24 03:00:00,0
2024-01-24 04:00:00,0
2024-01-24 05:00:00,0
2024-01-24 06:00:00,0
2024-01-24 07:00:00,0
2024-01-24 08:00:00,2.0991256
2024-01-24 09:00:00,3.66392832
2024-01-24 10:00:00,1.18314352
2024-01-24 11:00:00,1.87013008
2024-01-24 12:00:00,0.5724888
2024-01-24 13:00:00,1.1449776
2024-01-24 14:00:00,2.2899552
2024-01-24 15:00:00,0
2024-01-24 16:00:00,21.22025152
2024-01-24 17:00:00,0
2024-01-24 18:00:00,1.45030496
2024-01-24 19:00:00,1.41213904
2024-01-24 20:00:00,0
2024-01-24 21:00:00,0.11449776
2024-01-24 22:00:00,0.80148432
2024-01-24 23:00:00,3.09143952
